"日付け","終値","始値","高値","安値","前日比%"
"2010年09月22日","84.59","84.99","85.00","84.28","-0.47%"
"2010年09月21日","84.99","85.72","85.72","84.97","-0.85%"
"2010年09月20日","85.72","85.75","85.80","85.51","-0.16%"
"2010年09月17日","85.86","85.81","85.93","85.60","0.05%"
"2010年09月16日","85.81","85.61","85.93","85.23","0.24%"
"2010年09月15日","85.61","83.08","85.77","82.88","3.04%"
"2010年09月14日","83.08","83.61","83.71","82.93","-0.63%"
"2010年09月13日","83.61","84.25","84.29","83.51","-0.68%"
"2010年09月10日","84.18","83.92","84.38","83.75","0.32%"
"2010年09月09日","83.92","84.00","84.02","83.50","-0.10%"
"2010年09月08日","84.00","83.75","84.04","83.35","0.29%"
"2010年09月07日","83.75","84.17","84.26","83.52","-0.50%"
"2010年09月06日","84.17","84.46","84.49","84.05","-0.20%"
"2010年09月03日","84.34","84.37","85.22","84.17","-0.04%"
"2010年09月02日","84.37","84.51","84.56","84.00","-0.17%"
"2010年09月01日","84.51","84.13","84.67","83.68","0.46%"
"2010年08月31日","84.13","84.61","84.66","83.83","-0.56%"
"2010年08月30日","84.61","85.60","85.90","84.49","-0.77%"
"2010年08月27日","85.26","84.31","85.45","84.28","1.13%"
"2010年08月26日","84.31","84.79","84.89","84.28","-0.56%"
"2010年08月25日","84.79","84.19","84.83","84.06","0.71%"
"2010年08月24日","84.19","85.08","85.16","83.60","-1.06%"
"2010年08月23日","85.08","85.56","85.64","85.07","-0.60%"
"2010年08月20日","85.60","85.20","85.82","85.20","0.46%"
"2010年08月19日","85.20","85.46","85.92","84.90","-0.30%"
"2010年08月18日","85.46","85.62","85.62","85.19","-0.18%"
"2010年08月17日","85.62","85.18","85.68","85.18","0.51%"
"2010年08月16日","85.18","85.97","85.98","85.12","-1.20%"
"2010年08月13日","86.22","86.17","86.38","85.57","0.06%"
"2010年08月12日","86.17","85.13","86.18","84.93","1.22%"
"2010年08月11日","85.13","85.32","85.46","84.73","-0.22%"
"2010年08月10日","85.32","85.93","86.24","85.18","-0.72%"
"2010年08月09日","85.93","85.35","85.95","85.34","0.49%"
"2010年08月06日","85.51","85.81","86.18","85.03","-0.34%"
"2010年08月05日","85.81","86.33","86.45","85.71","-0.60%"
"2010年08月04日","86.33","85.88","86.40","85.33","0.52%"
"2010年08月03日","85.88","86.53","86.60","85.69","-0.75%"
"2010年08月02日","86.53","86.52","86.88","86.32","0.09%"
"2010年07月30日","86.46","86.76","86.82","86.02","-0.37%"
"2010年07月29日","86.78","87.34","87.53","86.54","-0.72%"
"2010年07月28日","87.41","87.88","88.13","87.24","-0.47%"
"2010年07月27日","87.82","86.91","87.98","86.84","1.05%"
"2010年07月26日","86.91","87.67","87.72","86.83","-0.63%"
"2010年07月23日","87.46","87.22","87.50","86.74","0.28%"
"2010年07月22日","87.22","86.85","87.23","86.35","0.43%"
"2010年07月21日","86.85","87.41","87.43","86.80","-0.64%"
"2010年07月20日","87.41","86.76","87.57","86.74","0.75%"
"2010年07月19日","86.76","86.53","87.22","86.53","0.21%"
"2010年07月16日","86.57","87.43","87.50","86.30","-0.98%"
"2010年07月15日","87.43","88.30","88.41","87.24","-0.99%"
"2010年07月14日","88.30","88.83","89.11","88.09","-0.60%"
"2010年07月13日","88.83","88.76","88.87","88.19","0.08%"
"2010年07月12日","88.76","89.08","89.12","88.39","0.16%"
"2010年07月09日","88.61","88.50","88.70","88.38","0.13%"
"2010年07月08日","88.50","87.82","88.64","87.80","0.77%"
"2010年07月07日","87.82","87.64","87.84","87.03","0.21%"
"2010年07月06日","87.64","87.53","87.97","87.36","0.13%"
"2010年07月05日","87.53","87.79","88.00","87.47","-0.28%"
"2010年07月02日","87.78","87.71","88.21","87.45","0.07%"
"2010年07月01日","87.71","88.51","88.53","86.99","-0.90%"
