Date,Open,High,Low,Close
2012-11-19,81.407,81.565,81.069,81.31
2012-11-20,81.308,81.738,81.12,81.675
2012-11-21,81.674,82.534,81.635,82.512
2012-11-22,82.513,82.817,82.244,82.4
2012-11-23,82.435,82.488,82.045,82.41
2012-11-26,82.364,82.602,81.908,82.038
2012-11-27,82.036,82.295,81.841,82.076
2012-11-28,82.073,82.193,81.675,82.065
2012-11-29,82.066,82.196,81.897,82.11
2012-11-30,82.109,82.728,82.032,82.46
2012-12-03,82.383,82.484,81.978,82.163
2012-12-04,82.162,82.195,81.702,81.875
2012-12-05,81.877,82.461,81.779,82.404
2012-12-06,82.404,82.598,82.182,82.394
2012-12-07,82.395,82.806,82.16,82.49
2012-12-10,82.531,82.621,82.106,82.331
2012-12-11,82.333,82.555,82.287,82.519
2012-12-12,82.52,83.275,82.484,83.169
2012-12-13,83.166,83.652,83.144,83.602
2012-12-14,83.602,83.942,83.301,83.46
2012-12-17,84.086,84.193,83.595,83.86
2012-12-18,83.86,84.267,83.804,84.249
2012-12-19,84.254,84.596,83.924,84.08
2012-12-20,84.08,84.434,83.843,84.332
2012-12-21,84.333,84.423,83.842,84.22
2012-12-24,84.364,84.85,84.307,84.819
2012-12-26,85.225,85.701,85.203,85.476
2012-12-27,85.472,86.322,85.465,86.271
2012-12-28,86.274,86.617,85.932,85.993
2012-12-31,85.803,86.662,85.798,86.55
2013-01-02,86.849,87.321,86.849,87.307
2013-01-03,87.307,87.539,86.756,87.426
